"Word","Verse"
"seat","John 19:13"
"judge’s","John 19:13"
"Golgotha","John 19:17"
"Skull","John 19:17"
"middle","John 19:18"
"fastened","John 19:19"
"prepared","John 19:19"
"notice","John 19:19"
"Greek","John 19:20"
"Latin","John 19:20"
"city","John 19:20"
"bottom","John 19:23"
"top","John 19:23"
"woven","John 19:23"
"seamless","John 19:23"
"remaining","John 19:23"
"undergarment","John 19:23"
"shares","John 19:23"
"dividing","John 19:23"
"lots","John 19:24"
"cast","John 19:24"
"lot","John 19:24"
"decide","John 19:24"
"tear","John 19:24"
"Clopas","John 19:25"
"wife","John 19:25"
"lips","John 19:29"
"plant","John 19:29"
"hyssop","John 19:29"
"stalk","John 19:29"
"soaked","John 19:29"
"vinegar","John 19:29"
"bowed","John 19:30"
"during","John 19:31"
"crosses","John 19:31"
"special","John 19:31"
"broke","John 19:32"
"break","John 19:33"
"sudden","John 19:34"
"spear","John 19:34"
"bones","John 19:36"
"permission","John 19:38"
"Pilate’s","John 19:38"
"feared","John 19:38"
"secretly","John 19:38"
"Arimathea","John 19:38"
"pounds","John 19:39"
"seventy-five","John 19:39"
"aloes","John 19:39"
"myrrh","John 19:39"
"mixture","John 19:39"
"accompanied","John 19:39"
"customs","John 19:40"
"accordance","John 19:40"
"spices","John 19:40"
"Taking","John 19:40"
"removed","John 20:1"
"outran","John 20:4"
"behind","John 20:6"
"separate","John 20:7"
"foot","John 20:12"
"white","John 20:12"
"carried","John 20:15"
"Thinking","John 20:15"
"Rabboni","John 20:16"
"ascended","John 20:17"
"overjoyed","John 20:20"
"showed","John 20:20"
"sending","John 20:21"
"breathed","John 20:22"
"anyone’s","John 20:23"
"nails","John 20:25"
"marks","John 20:25"
"nail","John 20:25"
"doubting","John 20:27"
"Reach","John 20:27"
"book","John 20:30"
"recorded","John 20:30"
"Afterward","John 21:1"
"Zebedee","John 21:2"
"We'll","John 21:3"
"I'm","John 21:3"
"haven’t","John 21:5"
"haul","John 21:6"
"jumped","John 21:7"
"yards","John 21:8"
"hundred","John 21:8"
"towing","John 21:8"
"coals","John 21:9"
"burning","John 21:9"
"torn","John 21:11"
"153","John 21:11"
"ashore","John 21:11"
"dragged","John 21:11"
"climbed","John 21:11"
"dared","John 21:12"
"breakfast","John 21:12"
"lambs","John 21:15"
"eating","John 21:15"
"care","John 21:16"
"hurt","John 21:17"
"lead","John 21:18"
"dress","John 21:18"
"stretch","John 21:18"
"dressed","John 21:18"
"younger","John 21:18"
"indicate","John 21:19"
"supper","John 21:20"
"leaned","John 21:20"
"rumor","John 21:23"
"books","John 21:25"
"suppose","John 21:25"
